Team, Player, Attacking, Offensive Awareness, Finishing, Kicking Power, Weak Foot Usage, Weak Foot Acc., LWF, SS, CF, RWF, LMF, DMF, CMF, AMF, RMF, LB, CB, RB, GK, Position, Age, Stronger Foot, Height, Weight, Dribbling, Ball Control, Tight Possession, Balance, Defending, Heading, Jump, Defensive Awareness, Ball Winning, Aggression, Passing, Low Pass, Lofted Pass, Place Kicking, Curl, Physicality, Speed, Acceleration, Physical Contact, Stamina, Form, Injury Resistance, Goalkeeping, GK Awareness, GK Catching, GK Clearing, GK Reflexes, GK Reach
akhmat-grozny, e-gorodov, 50.0, 40.0, 40.0, 70.0, 2.0, 2.0, 50.0, 50.0, 46.0, 50.0, 50.0, 55.0, 52.0, 48.0, 50.0, 56.0, 58.0, 56.0, 75.0, 1.0, 34.0, 1.0, 189.0, 86.0, 50.0, 56.0, 46.0, 56.0, 61.0, 68.0, 78.0, 67.0, 47.0, 47.0, 55.0, 61.0, 60.0, 55.0, 45.0, 70.0, 64.0, 61.0, 86.0, 69.0, 4.0, 3.0, 81.0, 84.0, 77.0, 83.0, 81.0, 79.0
akhmat-grozny, a-sheplyakov, 52.0, 40.0, 40.0, 76.0, 2.0, 2.0, 48.0, 48.0, 44.0, 48.0, 48.0, 52.0, 49.0, 46.0, 48.0, 53.0, 56.0, 53.0, 64.0, 1.0, 23.0, 1.0, 200.0, 88.0, 45.0, 53.0, 45.0, 53.0, 60.0, 71.0, 80.0, 55.0, 45.0, 51.0, 56.0, 61.0, 63.0, 48.0, 51.0, 67.0, 65.0, 56.0, 86.0, 60.0, 4.0, 3.0, 69.0, 67.0, 70.0, 67.0, 67.0, 75.0
akhmat-grozny, v-gudiev, 49.0, 40.0, 40.0, 67.0, 2.0, 4.0, 54.0, 53.0, 48.0, 54.0, 55.0, 59.0, 55.0, 51.0, 55.0, 60.0, 61.0, 60.0, 69.0, 1.0, 24.0, -1.0, 192.0, 76.0, 49.0, 56.0, 46.0, 53.0, 64.0, 71.0, 83.0, 67.0, 46.0, 55.0, 64.0, 60.0, 72.0, 53.0, 69.0, 69.0, 66.0, 67.0, 79.0, 65.0, 4.0, 2.0, 75.0, 78.0, 78.0, 77.0, 73.0, 71.0
akhmat-grozny, a-melikhov, 53.0, 40.0, 40.0, 79.0, 2.0, 2.0, 45.0, 45.0, 42.0, 45.0, 44.0, 48.0, 45.0, 43.0, 44.0, 49.0, 52.0, 49.0, 67.0, 1.0, 21.0, 1.0, 190.0, 71.0, 44.0, 46.0, 48.0, 58.0, 58.0, 65.0, 76.0, 47.0, 51.0, 49.0, 53.0, 54.0, 58.0, 53.0, 45.0, 61.0, 56.0, 52.0, 78.0, 56.0, 5.0, 2.0, 73.0, 76.0, 68.0, 73.0, 70.0, 79.0
akhmat-grozny, w-angel, 61.0, 55.0, 55.0, 72.0, 2.0, 2.0, 64.0, 63.0, 61.0, 64.0, 64.0, 69.0, 66.0, 63.0, 64.0, 71.0, 74.0, 71.0, 40.0, 2.0, 26.0, 1.0, 190.0, 82.0, 60.0, 65.0, 55.0, 61.0, 80.0, 84.0, 78.0, 82.0, 75.0, 81.0, 65.0, 72.0, 72.0, 54.0, 60.0, 75.0, 71.0, 66.0, 87.0, 76.0, 6.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-semenov, 62.0, 61.0, 50.0, 74.0, 2.0, 3.0, 66.0, 66.0, 63.0, 66.0, 67.0, 73.0, 69.0, 66.0, 67.0, 74.0, 75.0, 74.0, 40.0, 2.0, 30.0, 1.0, 190.0, 86.0, 60.0, 69.0, 57.0, 62.0, 80.0, 83.0, 76.0, 81.0, 78.0, 82.0, 68.0, 75.0, 77.0, 51.0, 69.0, 75.0, 72.0, 66.0, 84.0, 77.0, 5.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, z-nizic, 61.0, 55.0, 55.0, 73.0, 2.0, 3.0, 66.0, 65.0, 62.0, 66.0, 66.0, 69.0, 67.0, 65.0, 66.0, 71.0, 72.0, 71.0, 40.0, 2.0, 30.0, 1.0, 195.0, 88.0, 68.0, 69.0, 62.0, 61.0, 78.0, 81.0, 80.0, 75.0, 77.0, 75.0, 64.0, 75.0, 70.0, 51.0, 60.0, 74.0, 75.0, 68.0, 81.0, 71.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, m-musalov, 63.0, 67.0, 51.0, 72.0, 3.0, 4.0, 67.0, 66.0, 62.0, 67.0, 67.0, 67.0, 66.0, 64.0, 67.0, 69.0, 66.0, 69.0, 40.0, 2.0, 25.0, 1.0, 180.0, 70.0, 68.0, 69.0, 62.0, 65.0, 70.0, 67.0, 62.0, 70.0, 77.0, 73.0, 63.0, 69.0, 64.0, 55.0, 62.0, 73.0, 75.0, 78.0, 65.0, 75.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-adamov, 60.0, 60.0, 51.0, 68.0, 1.0, 2.0, 61.0, 60.0, 57.0, 61.0, 61.0, 62.0, 60.0, 58.0, 61.0, 64.0, 62.0, 64.0, 40.0, 2.0, 20.0, 1.0, 181.0, 69.0, 61.0, 62.0, 57.0, 68.0, 66.0, 62.0, 70.0, 65.0, 67.0, 68.0, 61.0, 63.0, 61.0, 56.0, 63.0, 74.0, 77.0, 73.0, 72.0, 75.0, 3.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, r-utsiev, 68.0, 70.0, 60.0, 75.0, 2.0, 3.0, 73.0, 72.0, 69.0, 73.0, 73.0, 74.0, 72.0, 71.0, 73.0, 74.0, 68.0, 74.0, 40.0, 2.0, 31.0, 1.0, 173.0, 68.0, 71.0, 72.0, 70.0, 71.0, 68.0, 64.0, 65.0, 67.0, 71.0, 73.0, 70.0, 75.0, 70.0, 62.0, 71.0, 76.0, 80.0, 79.0, 65.0, 81.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
